incident_id,start_time,machine_id,machine_name,tep_fault_number,rca_category,operator_description,severity,downtime_minutes,operator_id,engineer_id,status,rca_id
INC0110,2026-01-10T07:30:00,CW-201,Separator Cooling Water System,5,Condenser cooling issue,Separator Cooling Water System issue: separator temperature and pressure started increasing. Operator observed condenser cooling water inlet temp step pattern similar to TEP fault 5.,Low,8,EMP005,EMP004,Resolved,RCA0110
INC0111,2026-04-05T11:00:00,CW-101,Reactor Cooling Water System,11,Cooling water instability,Reactor Cooling Water System issue: cooling outlet temperature fluctuated and control valve hunted. Operator observed reactor cooling water inlet temp random variation pattern similar to TEP fault 11.,Low,19,EMP008,EMP004,Resolved,RCA0111
INC0112,2026-05-25T03:30:00,R-101,Reactor,20,Unknown process disturbance,Reactor issue: multiple variables moved abnormally without a clear single alarm. Operator observed unknown disturbance pattern similar to TEP fault 20.,Medium,79,EMP006,EMP003,Resolved,RCA0112
INC0113,2026-03-30T11:45:00,F-104,A+C Feed System,1,Feed composition/feed flow imbalance,A+C Feed System issue: feed ratio changed and reactor pressure/composition shifted. Operator observed a/c feed ratio disturbance pattern similar to TEP fault 1.,High,65,EMP008,EMP003,Resolved,RCA0113
INC0114,2026-04-06T11:00:00,F-102,D Feed System,9,Feed temperature drift,D Feed System issue: feed temperature fluctuated and downstream temperature moved. Operator observed d feed temperature random variation pattern similar to TEP fault 9.,High,92,EMP004,EMP005,Resolved,RCA0114
INC0115,2026-05-17T05:45:00,R-101,Reactor,13,Reactor performance drift,Reactor issue: conversion dropped and recycle increased gradually. Operator observed reaction kinetics slow drift pattern similar to TEP fault 13.,High,85,EMP005,EMP008,Resolved,RCA0115
INC0116,2026-03-25T09:10:00,K-501,Recycle Compressor,19,Unknown process disturbance,Recycle Compressor issue: multiple variables moved abnormally without a clear single alarm. Operator observed unknown disturbance pattern similar to TEP fault 19.,Medium,79,EMP004,EMP003,Resolved,RCA0116
INC0117,2026-05-27T19:45:00,F-102,D Feed System,9,Feed temperature drift,D Feed System issue: feed temperature fluctuated and downstream temperature moved. Operator observed d feed temperature random variation pattern similar to TEP fault 9.,Medium,26,EMP002,EMP008,Resolved,RCA0117
INC0118,2026-05-10T11:20:00,F-101,A Feed System,6,Feed interruption,A Feed System issue: feed flow dropped suddenly and reactor feed rate became unstable. Operator observed a feed loss pattern similar to TEP fault 6.,Medium,40,EMP003,EMP004,Resolved,RCA0118
INC0119,2026-04-08T13:05:00,T-401,Stripper,18,Unknown process disturbance,Stripper issue: multiple variables moved abnormally without a clear single alarm. Operator observed unknown disturbance pattern similar to TEP fault 18.,Medium,20,EMP002,EMP007,Resolved,RCA0119
INC0120,2026-01-10T19:05:00,CW-201,Separator Cooling Water System,5,Condenser cooling issue,Separator Cooling Water System issue: separator temperature and pressure started increasing. Operator observed condenser cooling water inlet temp step pattern similar to TEP fault 5.,Medium,68,EMP003,EMP007,Resolved,RCA0120
